KF utilisée  pr S&OP?;Domaine fonctionnel;type de KF;Priorité;"Statut Configuration (TWM)
Open / WIP / On Hold / Done";Mode alimentation;Commentaire;ID;Name;To be rename;Description;Detailed explanation of the KF (EN);Explication detaillée de la KF (FR);Base Planning Level;stored or calculated;Stored Key Figure;Calculated Key Figure;type de chargement;Source de la donnée;Editable Y/N;règle;commentaires;KF snapshoté?;Count
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPLANDINGDRINPREPVSSALESBUDG;Landing DR Fcst In-Prep vs Sales Bud.;Landing DR Fcst In-Prep vs Sales Bud.;;To be used only on a fixed 12-month horizon. For the current year, it refers to the consolidated volumes between the volumes delivered for the past months and the Demand Review forecasts In Prep for the coming months, all compared to the sales budget;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review In Prep sur les mois à venir, le tout comparé au budget commercial. ;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPLANDINGDRINPREPVSSALESBUDGPC;Landing DR Fcst In-Prep vs Sales Bud. %;Landing DR Fcst In-Prep vs Sales Bud. %;;To be used only on a fixed 12-month horizon. For the current year, it refers to the consolidated volumes between the volumes delivered for the past months and the Demand Review forecasts In Prep for the coming months, all compared to the sales budget and expressed as a percentage.;A utiliser uniquement sur l'horizon fixe de 12 mois. Pour l'année en cours, il s'agit des volumes consolidés entre les volumes livrés pour les mois passés et les prévisions Demand Review in Prep sur les mois à venir, le tout comparé au budget commercial et exprimé en pourcentage;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPMAXORDERFCST;Fcst MTC - open order subsitution;Fcst MTC - open order subsitution;;Intermediate KF to be considered by DR Fcst In prep instead of the Forecast MTC. This KF considers, at the monthly level, the maximum between Total Open Order Qty and Forecast MTC;KF intermédiaire à considérer par DR Fcst In prep en lieu et place et de la prévision. La KF considère au niveau mois le maximum entre Total Open Order Qty et Forecast MTC;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPPROMOMTC;Promotional Activity - MTC;Promotional Activity - MTC;;"KF at the product/customer level, expressed in volume and disaggregated relative to the Forecast MTC, allowing the entry of promotional volumes.
It must not be reset by the Demand Review publish.
It's include in the calculation of the DR Fcst In Prep (as an addition at the final level) ";"KF au niveau produit/client, eprimée en Volume et qui se désagrège par rapport au Forecast MTC qui permet la saisie de volumes promotionnels.
Elle n'est pas être remise à zéro par le publish Demand review. Elle rentre dans le calcul de la DR Fcst In Prep (en addition au niveau fin) 
";WKPRODCUST;stored;X;;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPPROMOUPLIFT;S&OP : Opérations promotionnelles - Appli.;S&OP : Opérations promotionnelles - Appli.;;Quantities produced for promotional operations;Quantités prévues pour les opérations promotionnelles;CALWKPROMOPRODZENS;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPSALESVOLUMEINPREPPERDAY;Sales Volume (in prep) / work.day;Sales Volume (in prep) / work.day;;KPI to bring sales volume (DR Fcst In Prep) down to working day of the month;KPI qui permet de ramener un volume de demande previsionnel (Demand review Fsct In Prep) à la maille jour/ouvré;WKPRODCUST;calculated;;X;;;Not editable;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPTOTALFORECASTVSCOMBUDGET;Fcst MTC vs Sales Bud. Qty;Fcst MTC vs Sales Bud. Qty;;;;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Demand review;;;Done;;;ZSOPPERCADJIMPACT;DR Fcst - Adj % - impact;DR Fcst - Adj % - impact;;"Calculate the percentage gap between the DR Fcst In Prep and the Forecast at the desired aggregation level.""";Calcule l'ecart en pourcentage entre la DR Fcst In Prep et la Prevision au niveau d'agrégation souhaité;WKPRODCUST;calculated;;X;;;;;;;
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPCONSENSUSCUSTVSBUDGET;compare Consensus et Budget commercial Qty;Cons. vs Sales Bud.;;It represents the difference in volume between Consensus and Sales Budget;Ecart relatif en volume entre le Consensus et le budget commercial;WKPRODCUST;calculated;;X;;;Not editable;Consensus - Budget commercial;;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPCONSENSUSCUSTVSBUDGETPCT;compare Consensus et Budget commercial %;Cons. vs Sales Bud. %;;It represents the accuracy of Consensus versus the Sales Budget.  ;Taux d'adhérence du Consensus par rapport au budget commercial. ;WKPRODCUST;calculated;;x;;;Not editable;Consensus / Budget commercial;;;1
KF à créer pour S&OP;Management Review;unique S&OP;1;Done;;;ZSOPCONSENSUS;Consensus;Consensus;Résultat adequation besoin commercial vs capacité;It is the consensus quantity resulting from the S&OP process, agreed upon between the Demand Review and the Supply Review. This is the final output of the S&OP cycle, to be compared with the sales budget;C'est la quantité prévisionnelle qui fait Consensus au terme des processus de Demand et Supply review. C'est le résultat final du cycle S&OP, qui sera à comparer au budget commercial;WKPRODLOC;calculated;;X;;;Not editable;#NOM?;voir si on peut trouver une soltuion pour désagreger au niveau client?;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPACCCONSENSUSCUSTABS;Fiabilité Consensus (ecart absolu);Consensus - ABS gap;indicateur de fiabilité du Consensusen écart absolu;Monthly absolute deviation between the Consensus and the Delivered Quantities;Ecart absolu mensuel entre le Consensus et la Quantité Livrée;MTHFAM2PLTSALESAREALAG;calculated;;X;;;Not editable;ABS(Consensus - livré);niveau de calcul d'écart à définir;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPACCCONSENSUSCUSTABSPCT;Fiabilité Consensus %;Consensus - ACC. %;indicateur de fiabilitéConsensus en %;Calulcates the accuracy of the Consensus versus delivered qty history by using ABS gap. The closer to 100%, the better;calcul de la fiabilité du consensus en le comparant à l'historique des qtés livrées en utilisant l'ABS gap. Plus on se rapproche de 100%, plus c'est juste;MTHFAM2PLTSALESAREALAG;calculated;;X;;;Not editable;1-(ABS(Consensus-livré) / Consensus;niveau de calcul d'écart à définir;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPBIASCONSENSUSCUSTPCT;Biais Consensus %;Consensus - BIAS %;indicateur de fiabilité Consensus en %;Calulcates the accuracy of the Consensus versus delivered qty history by using ABS gap. The closer to 0%, the better;calcul de la fiabilité du consensus en le comparant à l'historique des qtés livrées en utilisant l'ABS gap. Plus on se rapproche de 0%, plus c'est juste;WKPRODCUSTLAG;calculated;;X;;;Not editable;(Consensus-livré) / Consensus;at request;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPBIASCONSENSUSCUST;Biais Consensus(ecart relatif);Consensus - BIAS gap;indicateur de fiabilité Consensus en écart relatif;Bias deviation between the Consensus and the Delivered Quantities;Biais (ecart relatif) entre le Consensus et la Quantité livrée. ;WKPRODCUSTLAG;calculated;;X;;;Not editable;Consensus - livré;at request;;1
KF à créer pour S&OP;Management Review;;;Done;;;ZSOPCONSENSUSCUST;Consensus S&OP - Cust level;Consensus - Cust level;;"It is the consensus quantity resulting from the S&OP process, agreed upon between the Demand Review and the Supply Review. This is the final output of the S&OP cycle, to be compared with the sales budget.
This KF is rolled back from location level to customer level, in order to be able to compare it with the DR Fcst";"C'est la quantité prévisionnelle qui fait Consensus au terme des processus de Demand et Supply review. C'est le résultat final du cycle S&OP, qui sera à comparer au budget commercial
Cette KF permet d'agréger au niveau client afin de pouvoir comparer le consensus avec la DR Fcst";WKPRODLOCCUST;stored;;;;;;;;;1
KF à créer pour S&OP;Management Review;;;Done;;;ZSOPCONSENSUSCUSTLAG;Consensus S&OP - Cust level - Lag;Consensus - Cust level - Snapshot;;This KF is to be used in combination with attribute LAG. For each LAG attribute, it will be a picture taken X months before the time and that will be used to calculate accuracy. LAG 1 = -1 month, LAG 2 = -2 months ....;Cette KF sera utilisée en combinaison avec l'attribut LAG. Pour chaque valeur d'attribut LAG, une photo de la Demand Review forecast sera prise X mois avant et cette photo sera utilisée pour procéder aux calculs de fiabilité. LAG 1 = -1 mois, LAG 2 = -2 mois ....;WKPRODCUST;stored;;;;;;;;;1
KF existante à reprendre pour S&OP;Management Review;unique SOP;2;Done;;;ZKPIOTIFQTY;KPI - Ecart Commandé - Livré N;Delivered vs Ordered Qty N;;It's the difference between the Delivered quantities N and the ordered quantities N for each month;Ecart relatif entre les quantités livrées N et les quantités commandées N de chaque mois;WKPRODCUST;calculated;;X;;;Not editable;Qté commandée - Qté livrée ;;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPKPIORDERVSSALESQTYY1;KPI - Ecart Commandé - Livré N-1;Delivered vs Ordered Qty N-1;;It's the difference between the Delivered quantities N-1 and the ordered quantities N-1 for each month;Ecart relatif entre les quantités livrées N-1 et les quantités commandées N-1 de chaque mois;WKPRODCUST;calculated;;X;;;Not editable;Qté commandée - Qté livrée N-1;la règle sera peut être différente de la règle de la KF existante ZKPIOTIFQTyY;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPKPIORDERVSSALESQTYY2;KPI - Ecart Commandé - Livré N-2;Delivered vs Ordered Qty N-2;;It's the difference between the Delivered quantities N-2 and the ordered quantities N-2 for each month;Ecart relatif entre les quantités livrées N-2 et les quantités commandées N-2 de chaque mois;WKPRODCUST;calculated;;X;;;Not editable;Qté commandée - Qté livrée N-2;la règle sera peut être différente de la règle de la KF existante ZKPIOTIFQTyY;;1
KF à créer pour S&OP;Management Review;unique S&OP;1;Done;;;ZSOPCONSENSUSCY;Current Year Consensus;Landing Consensus;curent year = Qté histo facturée (ou livrée?) sur mois passé  + Consensus sur mois futurs;For the current year, it is the consolidated volume with the Delivered Quantity for the past and the Consensus for the future and current month;Sur l'année en cours, il s'agit du volume consolidé des quantités livrées pour le passé et du Consensus pour le futur et mois en cours;WKPRODLOC;calculated;;X;;;Not editable;curent year = Qté histo facturée (ou livrée?) sur mois passé  + Consensus sur mois futurs;;;1
KF à créer pour S&OP;Management Review;;;Done;;;ZSOPCONSENSUSCUSTCY;Current Year - Consensus S&OP - Cust level;Landing Consensus - Cust level;;"For the current year, it is the consolidated volume with the Delivered Quantity for the past and the Consensus for the future.
This KF is rolled back from location level to customer level, in order to be able to compare it with the DR Fcst";"Sur l'année en cours, il s'agit du volume consolidé des quantités livrées pour le passé et du Consensus pour le futur
Cette KF permet d'agréger au niveau client afin de pouvoir comparer le consensus avec la DR Fcst";WKPRODLOCCUST;stored;;;;;;;;;1
KF existante à reprendre pour S&OP;Management Review;unique SOP;2;Done;;;ZKPIOTIFPERC;KPI - Taux de Service In Full N;Service Level N % ;Taux de Service en Pourcentage;Key Performance Indicator representing the service level for year N. It is calculated by dividing the delivered quantities of year N by the ordered quantities of year N for each month. This will be closer to the OTIF measurement than the IF measurement. It can happen that it is greater than 0, due to orders delayed;Taux de service de l'année N. Il est calculé en divisant la quantité livrée par la quantité commandée de N pour chaque mois. Il se rapprochera plutôt de l'indicateur OTIF que IF. Il peut aussi être supérieur à 100 dans le cas de décalage de commande;WKPRODCUST;calculated;;X;;;Not editable;Qté livrée / Qté commandée;la règle sera peut être différente de la règle de la KF existante;;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPSERVICERATEY1;KPI - Taux de Service In Full N-1;Service Level N-1 % ;Taux de Service en Pourcentage;Key Performance Indicator representing the service level for year N-1. It is calculated by dividing the delivered quantities of year N-1 by the ordered quantities of year N-1 for each month. This will be closer to the OTIF measurement than the IF measurement. It can happen that it is greater than 0, due to orders delayed;Taux de service de l'année N-1. Il est calculé en divisant la quantité livrée par la quantité commandée de N-1 pour chaque mois. Il se rapprochera plutôt de l'indicateur OTIF que IF. Il peut aussi être supérieur à 100 dans le cas de décalage de commande;WKPRODCUST;calculated;;X;;;Not editable;Qté livrée / Qté commandée;"la règle sera peut être différente de la règle de la KF existante ZKPIOTIFPERC
en fonction des décalages de livraison on peut se retrouver avec un taux > 100%";;1
KF à créer pour S&OP;Management Review;unique S&OP;2;Done;;;ZSOPSERVICERATEY2;KPI - Taux de Service In Full N-2;Service Level N-2 % ;Taux de Service en Pourcentage;Key Performance Indicator representing the service level for year N-2. It is calculated by dividing the delivered quantities of year N-2 by the ordered quantities of year N-2 for each month. This will be closer to the OTIF measurement than the IF measurement. It can happen that it is greater than 0, due to orders delayed;Taux de service de l'année N-2. Il est calculé en divisant la quantité livrée par la quantité commandée de N-2 pour chaque mois. Il se rapprochera plutôt de l'indicateur OTIF que IF. Il peut aussi être supérieur à 100 dans le cas de décalage de commande;WKPRODCUST;calculated;;X;;;Not editable;Qté livrée / Qté commandée;"la règle sera peut être différente de la règle de la KF existante ZKPIOTIFPERC
en fonction des décalages de livraison on peut se retrouver avec un taux > 100%";;1
KF à créer pour S&OP;Management Review;unique S&OP;1;Done;calculée;Baseline / Output Fcst Consmp;ZSOPCONSENSUSDEMANDQTY;Total Location Forecast;Total Location Forecast_S;Total Location Forecast;total location forecast;quantité totale prévisionnelle sur le site consulté;WKPRODLOCCUST;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;1;Done;;;ZSOPUTILIZATIONPCT;Pourcentage d'utilisation de la ressource;% usage of opening time;Pourcentage d'utilisation de la ressource;this is the % utilisation of the opening time available for the line;c'est le % d'utilisation du temps d'ouverture disponible de la ligne;CALWKRESLOC;;;X;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;;Done;;;ZADDCAPADISPLAY;Capacité + : capacité en plus vs la capacité nominale;Additionnal Storage Capacity;Capacité +/- : capacité en plus ou en moins vs la capacité nominale;KF to be used in order to increase temporarily the storage capacity by x nb of pallet space (80x120);"KF à utiliser afin d'augmenter de façon temporaire la capacitié de stockage par x nb d'emplacements palettes (équivalent 80x120)
Elle est calculée en time series à la maille hebdo.";WKLOC;stored;X;;;;Y;saisie en valeure positive seulement, nombre entier seulement;"à gérer en time series et en masterdata
05.03 TMO - Attribut 'Storage - Additionnal Capa.'";;
KF existante à reprendre pour S&OP;Supply Review;partagée;1;Done;;;ZSOPINITIALINVENTORY;Available Stock;Available Stock_S;Available Stock;available stock to serve out customers;stock disponible pour livrer nos clients;WKPRODLOC;;X;X;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;2;Done;;;ZSOPRATEOFBLOCKEDSTOCK;Taux de stock bloqué;Blocked Stock %;% stock bloqué sur stock dispo;The percentage of blocked stock compared to the total stock per site;Pourcentage de stock bloqué par site;WKPRODLOC;calculated;;X;;;Not editable;ZINITIALBLOCKEDINVENTORY / INITIALINVENTORY;calcul at request;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPZINITIALBLOCKEDINVENTORY;Blocked Stock;Blocked Stock_S;Blocked Stock;stock that is not available to be sent to our customers;stock non disponile pour livrer nos clients;WKPRODLOC;;X;;;;;;KF à snapshoter ;;1
KF à créer pour S&OP;Supply Review;unique S&OP;; Progress;;;ZSOPOPENDAYS;Open Days - from Calendar;Calendar Working days;;Display nbr of working days available based on France IBP Calendar ;;WKRESLOC;calculated;;;;;Not editable;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PCAPACONSUMPTION;Capacity Consumption Rate of Production Resource;Capacity Consumption Rate of Production Resource_S;Time-Series-Based Supply Planning Input: Defines how much capacity is consumed per unit of product produced. Is related to a production or assembly process.;;;WKRESPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PCAPADEMAND;Capacity Demand of Production Resource;Capacity Demand of Production Resource_S;Time-Series-Based Supply Planning Output: Capacity needed to produce the net demand for a location product. NETDEMAND propagated to one production source * PCAPACONSUMPTION.;;;WKRESPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;On Hold as not used today;;S&OP version;TCAPADEMAND;Capacity Demand of Transportation Resource;Capacity Demand of Transportation Resource_S;Time-Series-Based Supply Planning Output: Capacity requirements for transports (location source of supply). Capacity is consumed with each unit of product transported.;;;WKPRODLOCLOCFRRES;;X;;;;;;besoin pour projection volume par zone de vente pour impact transport;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PCAPAUSAGE;Capacity Usage of Production Resource;Capacity Usage of Production Resource_S;Time-Series-Based Supply Planning Output: Capacity supply amount of a resource consumed by the production of a product.;;;WKRESPRODLOCSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;partagée;1;On Hold as not used today;;S&OP version;TCAPAUSAGE;Capacity Usage of Transportation Resource;Capacity Usage of Transportation Resource_S;Time-Series-Based Supply Planning Output: Shows the capacity amount of a resource consumed by the transportation of a product.;;;WKPRODLOCLOCFRRES;;X;;;;;;à voir si utile?;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PRODUCTIONCOMPONENTDS;Component Supply DS;Component Supply DS_S;Time-Series-Based Supply Planning Input and Output: Component usage (at component).;;;WKPRODTOLOCPRODSRC;;X;;;;;;;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;PRODUCTIONCOMPONENT;Component Usage;Component Usage_S;Time-Series-Based Supply Planning Input and Output: Quantity of a component produced and supplied for a production or assembly process.;usage of the component based on the BOM of the products;utilisation des composants sur la base de la nomenclature des produits;WKPRODLOCCOMPSRC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPCONFIRMEDRECEIPT;Confirmed External Receipts;Confirmed External Receipts_S;Time-Series-Based Supply Planning Input: Confirmed External Receipts for integration from S/4 or another execution system.;confirmed stock reception from an external source with a firm order;réception de stock confirmée sur la base d'une commande ferme depuis une source extérieure;WKPRODLOC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPCONFIRMEDPRODUCTION;Confirmed Production Receipts;Confirmed Production Receipts_S;Time-Series-Based Supply Planning Input: Confirmed Production Receipts for integration from S/4 or another execution system.;confirmed stock reception from a firm production order;réception de stock confirmée sur la base d'un ordre de fabrication;WKPRODLOCSRC;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;partagée;1;Done;;;ZSOPCONFIRMEDTRANSPORT;Confirmed Stock Reception (Trp. Rcpt.);Confirmed Stock Reception (Trp. Rcpt.)_S;Time-Series-Based Supply Planning Input: Confirmed Transport Receipts for integration from S/4 or another execution system.;confirmed stock reception with a firm order;réception de stock confirmée sur la base d'un ordre de transport ferme;WKPRODLOCLOCFR;;X;;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPCONSUMPTIONZMPZEMB;Historisation des consommations ZMP et ZEMB;Consumption ZMP_EMB;Historisation des consommations ZMP et ZEMB;consumption of items of type ZMP or ZEMB in the past;Historique des consommation mensuelles d'articles de type ZMP ou ZEMB ;WKPRODLOC;stored;X;;manuel;DIO?;Editable;;;;1
KF à créer pour S&OP;Supply Review;;2;Done;;;ZSOPCONSUMPTZMPZEMB_SOP_XX;Prévision consommable snapshot;Consumption ZMP_EMB - Snapshot;photo de la Prévision consommable M à M+12;snapshot of planned consumption for ZMP & ZEMB from M1 to M12;snapshot de la consommation previsionnelle des ZMP et ZEMB de M1 à M12;WKPRODLOC;stored;;;;;Not editable;;besoin = Photo du Calcul du CBN en sortie d'heuristic fini.;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;;Budget MP EMB;Consumption ZMP_EMB Bud;budget consommation MP et EMB;Budget for raw material packaging items;Budget pour les articles matière première Emballage;WKPRODLOC;stored;;;manuel;;;;chargé manuellement une fois par an;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;ZSOPBUDCONSUMPZMPZEMB;Budget MP EMB;Consumption ZMP_EMB Bud;budget consommation MP et EMB;Budget for raw material packaging items;Budget pour les articles matière première Emballage;WKPRODLOC;stored;X;;manuel;;;;chargé manuellement une fois par an;;
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPCONSUMPTIONOFFSETM1;Consumption History (M-1);Consumption ZMP_EMB M-1;;consumption of items of type ZMP or ZEMB in the past (M-1);;MTHPRODLOC;calculated;;;;;Not editable;;Offset of ZSOPCONSUMPTIONZMPZEMB by 1 month;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPCONSUMPTIONOFFSETY1;Consumption History (Y-1);Consumption ZMP_EMB N-1;;consumption of items of type ZMP or ZEMB in the past (Y-1);;MTHPRODLOC;calculated;;;;;Not editable;;Offset of ZSOPCONSUMPTIONZMPZEMB by 1 year;;1
KF à créer pour S&OP;Supply Review;;;Done;;;ZSOPCONSUMPTIONOFFSETY2;Consumption History (Y-2);Consumption ZMP_EMB N-2;;consumption of items of type ZMP or ZEMB in the past (Y-2);;MTHPRODLOC;calculated;;;;;Not editable;;Offset of ZSOPCONSUMPTIONZMPZEMB by 2 years;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;;Gap conso  vs. Budget conso Qté;Consumption ZMP_EMB vs Bud;Ecart entre les consommations et le budget;It is the gap in quantity of consumption of volumes of ZMP & ZEMB versus the budgeted volumes of ZMP & ZEMB;comparatif en quantité entre la consommation réelle des ZMP et ZEMB versus le volume budgétisé des consommation de ZMP et ZEMB;WKPRODLOC;calculated;;X;;;Not editable;Histo des conso - budget des consos;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Done;;;ZSOPCONSUMPVSBUDZMPZEMB;Gap conso  vs. Budget conso Qté;Consumption ZMP_EMB vs Bud;Ecart entre les consommations et le budget;It is the gap in quantity of consumption of volumes of ZMP & ZEMB versus the budgeted volumes of ZMP & ZEMB;comparatif en quantité entre la consommation réelle des ZMP et ZEMB versus le volume budgétisé des consommation de ZMP et ZEMB;WKPRODLOC;calculated;;X;;;Not editable;Histo des conso - budget des consos;;;
KF à créer pour S&OP;Supply Review;unique S&OP;3;Open;;;;Gap conso  vs. Budget conso %;Consumption ZMP_EMB vs Bud %;Ecart entre les consommations et le budget;It is the gap in % of consumption of volumes of ZMP & ZEMB versus the budgeted volumes of ZMP & ZEMB;comparatif en % entre la consommation réelle des ZMP et ZEMB versus le volume budgétisé des consommation de ZMP et ZEMB;WKPRODLOC;calculated;;X;;;Not editable;Histo des conso / budget des consos;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;3;Done;;;ZSOPCONSUMPVSBUDZMPZEMBPCT;Gap conso  vs. Budget conso %;Consumption ZMP_EMB vs Bud %;Ecart entre les consommations et le budget;It is the gap in % of consumption of volumes of ZMP & ZEMB versus the budgeted volumes of ZMP & ZEMB;comparatif en % entre la consommation réelle des ZMP et ZEMB versus le volume budgétisé des consommation de ZMP et ZEMB;WKPRODLOC;calculated;;X;;;Not editable;Histo des conso / budget des consos;;;
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSM1;Gap conso M vs. conso M-1 Qté ;Consumption ZMP_EMB vs M-1;Ecart entre les consommations réelles ZMP et ZEMB M et M-1 Qté;It represents the Gap in quantity between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the previous month. Only for ZMP and ZEMB articles.;c'est l'écart en quantité entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée sur le mois précédent. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comparer mois M vs M-1en Qté;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSM1PCT;Gap conso M vs. conso M-1 %;Consumption ZMP_EMB vs M-1 %;Ecart entre les consommations réelles ZMP et ZEMB M et M-1 %;It represents the Gap in % between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the previous month. Only for ZMP and ZEMB articles.;c'est l'écart en % entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée sur le mois précédent. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comparer mois M vs M-1en %;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSY1;Gap conso N vs. conso N-1 Qté ;Consumption ZMP_EMB vs Y-1;Ecart entre les consommations réelles ZMP et ZEMB N et N-1 Qté;It represents the Gap in quantity between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the same month of the previous year. Only for ZMP and ZEMB articles.;c'est l'écart en quantité entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée de ZMP & ZEMB sur le même mois de l'année précédente. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comprarer mois N vs N-1 en Qté;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSY1PCT;Gap conso N vs. conso N-1 %;Consumption ZMP_EMB vs Y-1 %;Ecart entre les consommations réelles ZMP et ZEMB N et N-1 %;It represents the Gap in % between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the same month of the previous year. Only for ZMP and ZEMB articles.;c'est l'écart en % entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée de ZMP & ZEMB sur le même mois de l'année précédente. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comparer mois N vs N-1 en %;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSY2;Gap conso N vs. conso N-1 Qté ;Consumption ZMP_EMB vs Y-2;Ecart entre les consommations réelles ZMP et ZEMB N et N-2 Qté$;It represents the Gap in quantity between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the same month of 2 year prior. Only for ZMP and ZEMB articles.;c'est l'écart en quantité entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée de ZMP & ZEMB sur le même mois 2 années plus tôt. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comprarer mois N vs N-2 en Qté;;1
KF à créer pour S&OP;Supply Review;unique S&OP;2;Done;;;ZSOPGAPCONSUMPTIONVSY2PCT;Gap conso N vs. conso N-1 %;Consumption ZMP_EMB vs Y-2 %;Ecart entre les consommations réelles ZMP et ZEMB N et N-2 %;It represents the Gap in %  between the quantity consumed of ZMP & ZEMB for the current month versus the quantity consumed of ZMP & ZEMB for the same month of 2 year prior. Only for ZMP and ZEMB articles.;c'est l'écart en % entre la quantité consommée en ZMP & ZEMB sur le mois en cours avec la quantité consommée de ZMP & ZEMB sur le même mois 2 années plus tôt. Concerne seulement les articles de types ZMP et ZEMB.;MTHPRODLOC;calculated;;X;;;Not editable;;Sur base KF Histo des consommations, comparer mois N vs N-2 en %;;1
KF existante à reprendre pour S&OP;Supply Review;unique S&OP;1;Done;;;ZCOVERAGEGAP;Coverage Gap;Coverage Gap_S;Coverage Gap;gap between the target stock coverage and the dynamic stock coverage;écart entre la couverture cible définit et la couverture réelle;WKPRODLOC;;;X;;;;;;;1
KF à créer pour S&OP;Supply Review;unique S&OP;;Done;;;ZSOPDELQTYVSSALESBUD;;Delivered Qty vs Sales Bud.;;It is the gap in quantity of delivered volume versus the commercial budget;c'est le comparatif en volume entre les quantités livrées et le budget commercial;;;;;;;;;;;
